,Price,Address,Neighborhood,Bedrooms,Property_Type,Price_Scaled
183,1000000,Onike Onike Onike Yaba Lagos,Yaba,3.0,House,-0.1415441965113108
184,6000000,Dideolu Estate VI Lagos,VI,3.0,Flat,0.30650849633592536
185,1200000,Sangotedo Sangotedo Bogije Sangotedo Lagos,Sangotedo,3.0,Flat,-0.12362208879742137
186,600000,Hopeville Estate Sangotedo Ajah Lagos,Sangotedo,3.0,Flat,-0.17738841193908972
187,2500000,Off Adeniyi Jones Ikeja Lagos Adeniyi Jones Ikeja Lagos,Ikeja,3.0,Flat,-0.007128388657139971
188,550000,United estate Sangotedo Ajah Lagos,Sangotedo,3.0,Flat,-0.18186893886756209
189,500000,off Cole street Lawanson Surulere Lagos,Surulere,2.0,Flat,-0.18634946579603445
190,2500000,Ladipo Kasumu Allen Avenue Ikeja Lagos,Ikeja,4.0,House,-0.007128388657139971
191,900000,off Babs Animasaun Bode Thomas Surulere Lagos,Surulere,2.0,Flat,-0.15050525036825554
192,350000,off Babs Animasaun Bode Thomas Surulere Lagos,Surulere,2.0,Unknown,-0.19979104658145153
193,7000000,Adeola Odeku VI Lagos,VI,3.0,Unknown,0.39611903490537265
194,900000,Rafiu Williams street Adelabu Surulere Lagos,Surulere,2.0,Flat,-0.15050525036825554
195,1200000,off Babs Animasaun Bode Thomas Surulere Lagos,Surulere,2.0,Flat,-0.12362208879742137
196,1500000,off Babs Animasaun Bode Thomas Surulere Lagos,Surulere,3.0,Flat,-0.09673892722658721
197,750000,Hopeville Estate Sangotedo Ajah Lagos,Sangotedo,2.0,Flat,-0.16394683115367265
198,400000,"Odunlami Street, off Fola Agoro Bajulaiye Shomolu Shomolu Lagos",Shomolu,1.0,mini,-0.19531051965297916
199,2000000,Karimu Kotun VI Lagos,VI,1.0,mini,-0.05193365794186359
200,1000000,"Odunlami street, off Fola -Agoro Shomolu Lagos",Shomolu,3.0,Flat,-0.1415441965113108
201,1000000,Kilo Marsha Surulere Lagos,Surulere,3.0,Flat,-0.1415441965113108
202,1100000,SON.. Off Victoria Arobieke Street Lekki Phase 1 Lekki Lagos,Lekki,1.0,mini,-0.1325831426543661
203,100000000,"community road, ajoke coker street Off Lekki Epe Expressway Ajah Lagos",Lekki,3.0,Unknown,8.729899121863966
204,800000,"St.Gregory College, Obalende Ikoyi S.WEST IKOYI Awolowo Road Ikoyi Lagos",Obalende,2.0,Flat,-0.15946630422520028
205,1300000,Milverton Road Off Alexander Road Old Ikoyi Ikoyi Lagos,Ikoyi,2.0,Flat,-0.11466103494047665
206,4000000,By Adebisi Ladejobi Close Off Admiralty Way Lekki Phase 1 Lekki Lagos,Lekki,5.0,Duplex,0.12728741919703088
207,3000000,Morocco Shomolu Shomolu Lagos,Shomolu,2.0,Unknown,0.03767688062758365
208,1500000,C zone Nicon Town Estate Ikate Lekki Lagos,Lekki,2.0,Flat,-0.09673892722658721
209,300000,Close to Unilag road Abule Oja Yaba Lagos,Yaba,1.0,mini,-0.2042715735099239
210,7000000,Elsie Femi Pearse Street VI Lagos,VI,4.0,Bungalow,0.39611903490537265
211,2500000,"Omole phase 2, close to GRA Magodo Kosofe Ikosi Lagos",Kosofe,5.0,House,-0.007128388657139971
212,200000,Obadia Akoka Akoka Yaba Lagos,Yaba,1.0,mini,-0.2132326273668686
213,1500000,Lawanson Ojuelegba Surulere Lagos,Surulere,3.0,Office,-0.09673892722658721
214,650000,off Apapa Road Ebute Metta Yaba Lagos,Apapa,2.0,Flat,-0.17290788501061735
215,4000000,Adeniyi Jones Adeniyi Jones estate Adeniyi Jones Ikeja Lagos,Ikeja,5.0,Duplex,0.12728741919703088
216,4000000,"Eti osa way, Dolphin Dolphin Estate Ikoyi Lagos",Ikoyi,4.0,House,0.12728741919703088
217,1300000,phase 1 GRA Magodo Isheri Ojodu Lagos,Ojo,3.0,Flat,-0.11466103494047665
218,1500000,"No 5,Malachy close, off Harris Orah crescent, Ogudu, Ojota. Pako Estate Ogudu Gra Ogudu Lagos",Ogudu,3.0,Flat,-0.09673892722658721
219,1200000,Alagomeji Alagomeji Yaba Lagos,Yaba,2.0,Unknown,-0.12362208879742137
220,4000000,Isale Eko way Dolphin Estate Ikoyi Lagos,Ikoyi,4.0,House,0.12728741919703088
221,5500000,Shonibare estate Shonibare Estate Maryland Lagos,Maryland,4.0,Duplex,0.26170322705120175
222,230000,Onike Onike Yaba Lagos,Yaba,2.0,Unknown,-0.2105443112097852
223,2500000,Off Yaba Tech Yaba Lagos,Yaba,3.0,Flat,-0.007128388657139971
224,500000,itire-mushin road Mushin Mushin Lagos,Mushin,2.0,Flat,-0.18634946579603445
225,6000000,Kebbi street Osborne Foreshore Estate Ikoyi Lagos,Ikoyi,3.0,House,0.30650849633592536
226,400000,off Bajulaiye Yaba Lagos,Yaba,1.0,mini,-0.19531051965297916
227,1200000,Off Admiralty Lekki phase one Lekki Phase 1 Lekki Lagos,Lekki,1.0,mini,-0.12362208879742137
228,850000,"Olorunkemi street,Pedro Palmgroove Shomolu Lagos",Shomolu,3.0,Flat,-0.1549857772967279
229,3000000,Adeola Street Medina Medina Gbagada Lagos,Gbagada,5.0,Duplex,0.03767688062758365
230,250000,Ireakari model market. Ire Akari Isolo Lagos,Isolo,1.0,mini,-0.20875210043839626
231,750000,off Ogunlana street Alapere Kosofe Ikosi Lagos,Alapere,2.0,Flat,-0.16394683115367265
232,300000,Egbeda Alimosho Lagos,Alimosho,2.0,Flat,-0.2042715735099239
233,2500000,Adeola Street Medina Medina Gbagada Lagos,Gbagada,5.0,Duplex,-0.007128388657139971
234,300000,Obadia Akoka Shomolu Shomolu Lagos,Shomolu,1.0,mini,-0.2042715735099239
235,1000000,Ifako Gbagada Ifako Gbagada Gbagada Lagos,Gbagada,3.0,Flat,-0.1415441965113108
236,1300000,"Omole phase 2, close to phase 1 GRA Magodo Isheri Ojodu Lagos",Ojo,3.0,Flat,-0.11466103494047665
237,1300000,phase 1 GRA Magodo Isheri Ojodu Lagos,Ojo,3.0,Flat,-0.11466103494047665
